AUTHOR,COMMENT,RATING,TIME
"Waheed Hamid","“
So I brought a mac book air from cex it had taken me just under 8 months to save up for a second hand laptop. I have had the laptop for less then 4 months and now it has a charging fault. I took it back and now they are saying it damaged. I am so disappointed.i have used my laptop about 4 times over the sapce of 4 months and its always kept save and locked away where no one has acess. I had brought the laptop with some damages on it I am so stupid I should of taken pictures on arrival. I am trying me best to get this resolved I just can't afford to loose £300 it's left me so heartbroken and I just can't believe it. What's the worst thing I always go to this cex for my kids games and just browse and I always say hello to all staff.
”","1","Posted 1 month ago"
"Adam","“
DO NOT buy pokemon gameboy games from this company. Two i've had have been fake & three have had no batteries in them. The store where i bought them wouldn't even replace a dead/dry battery but are happy enough to sell you it when you can't save your game. What do they actually test?? AVOID AT ALL COSTS!!
”","1","Posted 1 month ago"
"Anonymous","“
Took my Fitbit versa in to sell to them- really great condition and they offered me £27.....fair enough so left it there to be tested came back after an hour to be told it was reported lost/ stolen.....U have a receipt from Amazon for it - bought it new in December 2019 so what the hell? I resent being labelled a thief especially in CEX which clearly does buy stuff from dodgy people! I have complained to Head Office and am now selling it elsewhere on line. Waste of time dealing with them.
”","1","Posted 1 month ago"
"Anonymous","“
Pray on the desperate and sell xbox series x for 200 quid more than an original.
Profiteering and should be illegal what they do.
Terrible company, with equally terrible moral trading standards.
Don't touch with a barge pole. Also known to fence stolen goods, which shoplifters steal and takenand sell to them.
Avoid like the plague. Zero stars.
”","1","Posted 1 month ago"
"Anonymous","“
They knowingly sent out a charger that did not fit the watch. Refused any partial refund for the wrong charger.
Kept the watch because I have a charger.
Unimpressed.
”","1","Posted 2 months ago"
"Ken","“
There incompetent 5 times I've ordered dvds online and came back saying they weren't in stock but 10 days later my money wasn't refunded its a scam
”","1","Posted 2 months ago"
"Kristina","“
Absolutely outrageous. My 7 year old daughter change her mind about 2 xbox360 games (£14) we have purchased. She has not even played them.
Came to store 4 days later to get a full refund obviously. Guess what? They have 2 days policy!!!!!! 2days!!!! I felt like I am trying to return out of date smelly fish!
I've been offered £5 for both games, because they CAN BUY IT from me!
I've never felt so ripped-off in my life.
”","1","Posted 2 months ago"
"Anonymous","“
Purchased a Nintendo DS for my partner from CEX in KILMARNOCK, after playing she complained that there was a part missing and it wasn’t charging properly. Having only bought it the previous day took it back to the shop with receipt for my money back only to discover that it MUST be put through a “warranty test” to justify my return. After 20 mins or so the staff member assured me the device was okay as he had been “playing it” non stop since i dropped it in ( that’s some extensive warranty test!”) Anyway, with these red flags now raised in my mind i thought it was best that i declined the device and requested my money back. I was utterly outraged when they told me we can’t return you’re money as it’s only an instore voucher we can provide, i thought the bloody cheek, first sell me an item that doesn’t work properly then refuse to hand me back the cash i paid for it eventhough i returned the item within the two day window (confirmed time limit from a member of staff in the IRVINE CEX). I wouldn’t recommend this mob as they falsely advertise their warranty and aren’t willing to budge even with the phrase “the customers always right”. AVOID like the plague of zombies that pollute Kilmarnock burns mall. These jokers are rip off merchants.
”","1","Posted 2 months ago"
"Anonymous","“
Bought a used laptop from Crystal Peaks Sheffield. The 2 year warranty was attractive and I mistakenly trusted they would be decent and honest to deal with. It failed after a few months but CEX would not honour the guarantee. I accept the laptop was bought as 2nd class because of previous owner mishandling but if CEX want to play that game ,don't pretend it has a warranty. Very disappointed with CEX and would advise against using them.
”","1","Posted 2 months ago"
"Paul","“
Brought a iPhone SE within a week the screen developed a fault and then went off completely. Took back into store and said about it asked for instore voucher so I could get a replacement and they came back saying I have damaged the scree it’s not covered on the 24 month warranty as it’s classed as accidental damage.. so wasted £360 and a useless phone and CEX staff it’s my fault and should be more careful.
CEX warranty is a complete joke and staff are rude.
”","1","Posted 3 months ago"
"Anonymous","“
Please do not buy from cex. I went to get a Xbox one controller to find out it's cheaper to buy them brand new. When to return the item to be told i camt have my no at back only in store credit. RIP OFF
”","1","Posted 3 months ago"
"Daniel Gray","“
Cex pay next to nothing for games etc, sold a few to them then had 2 returned to me with no explanation, no email, nothing. Our exchange came to £2.83 instead of the £6.86. Avoid and sell privately....
”","1","Posted 3 months ago"
"Connor Doyle","“
Avoid avoid avoid.
I bought a game off their Tallaght shop (dublin ireland). The game just wasnt the right edition iwas looking for. Only figured when i got home. Went back to the shop a day later bt would nt give me a refund coz theysaid therewasbt anythi g wrong with game even after i explai ed it wasnt what i was looking for. They gave me an in store voucher i stead bt that meant i cant use that money to buy game in another shop. My money is nw locked in their shop so nw i have no choice but come back to cex. Any other shop would have given a refund to card used when making the purchase. I do nt recommend buying from Cex.
”","1","Posted 3 months ago"
"Joseph Nowak","“
Do not buy from cex..pay a few pound more for new
X box controller under warranty...4 times same fault..they refused to repair again..even though previous repairs free of charge..incompetent engineers..cheap parts badly fitted
”","1","Posted 3 months ago"
"K.Barrett","“
Absolute clowns tried offer me £15 for a WORKING PS4 console - because the serial number off the CONTROLLER had peeled off... I laughed and walked out the shop. Plus no matter what price offered they will deduct 5 pounds for no reason whatsoever. I WILL NEVER USE CEX AGAIN.
”","1","Posted 4 months ago"
"Vanessa Rice","“
Sold a lancehead quarts mouse today for £10 it is worth alot more than that id say atleast £70 I also had a keyboard with me a v2 chromatic Black widow quarts offered 60 for all I said absolutely not
”","1","Posted 4 months ago"
"Coal","“
Not sure about all the bad reviews on here, never had any issues with my local store and any issues i've run into online (had a couple, been sent the wrong google nest/home model, dirty items) have been quickly dealt with. I suggest contacting CEX through facebook messenger, usually get a reply the same day. Been refunded for items in full quickly and easy when faults have arose, sold to cex in store too and had no issues again.
”","5","Posted 4 months ago"
"John","“
Frankly I am fed-up with getting damaged DVD's from CEX. Angry with myself just bought another box set, needless to say it's badly damaged. Clearly there quality control is simply just poor.
As for their customer service I concur with other reviewers the best adjective is: terrible. That said I notice they monitor sites like this to leave a: just contact us; let us help: really!
I am attempting to cancel a DVD box set I ordered, once done will be terminating my account. Amazon is where I will buy from.
So angry with myself for buying from them again.
Buy DVD/DVD box set; settle down to watch. The the endless frustration of a damaged DVD. Well this was the last time.
”","1","Posted 4 months ago"
"Anonymous","“
Ordered a laptop from them 20th July 2021. Item was never delivered. I was refused a refund and made to wait until 3rd August as they could not be bothered to chase the order with Royal Mail.
It is now 3rd August, still no laptop, no update, no response to email and no refund.
This company is genuinely not worth dealing with. Customer service is very very poor. There are other sites selling similar products that I will be going to now.
Update 4th August 2021.
After contact from CeX this morning (after this review, no surpise!) they still clearly have not looked into the countless emails I have sent over the last two weeks. Still no meaningful response, no refund and no accountability for their error as they are trying to blame Royal Mail who they subcontract out to so ultimately the responsibility lies with CeX.
”","1","Posted 4 months ago"
"John Kimble","“
I purchased a limited collectors edition box set on Blu-ray which was in a steelbook “breaking bad” what they send me was the regular edition. The limited edition they charged me £22 for, they sent me the £15 regular edition and rather than refund me the difference they insisted I travel an hour away to the post office to return it which would cost me more in travel costs than it’s worth. They don’t care how they treat customers.
”","1","Posted 4 months ago"
"Krzysztof","“
Avoid, avoid, avoid. Customer service is simply pathetic in this place. I bought ps4 not long time ago and I asked person who sold me it (Killian) 3 TIMES!!!! is the 24 warranty cover everything including controller. He said yes 3 times. I came back to cex tallagh in Thursday in my only day off to get it fixed with no charging issue and girl told me that my pad is covered only 6 months as policy change during lockdown!!!! I ask for a manager and he said the same looking straight into my eyes!!!! When I went online for complain they told me that the pad IS covered by 2 years and I need to come back with a pad. Told them that I'm not going there as it's a waste of time and I dont drive so I was informed to send someone else or go to different cex in Ireland!!! Becaaue of your fault I need to involve 3rd people into this or go to city centre!!!! Its a joke!!!! Its already week that my issue is not sorted and I'm week without a pad. Lady in customer service keep telling me that I have to go to bring the old pad as otherwise i dont get new one. Really??? Pad cost you about 30 euro and your sales person lie to me about it. They offer me 10 euro to cover my time waste..... 10 euro... that's what a customer is worth for them. I just ask to ship new pad to my home as I already spend nearly 2 hours walking to them and they lie to me by telling shorter period of warranty even talking with manager. Be aware of this company as everything what they are telling could be a lie and small things like pad replacement it's a nightmare for them. I had to contact my solicitor as I can not leave it like that right now.
”","1","Posted 4 months ago"
"Anonymous","“
Rip off merchants. Took my iPhone 11 in to attempt to sell in Worcester . In good condition they looked it over and said it’s a C Grade!! Offered me £110. I told them to shove it. When I took it into apple they said it’s a B grade . They gave me £400 for it towards a new phone. I’ll never sell here again or buy anything CEX membership has now been thrown a way in the trash just like your stores . Sell your items privately don’t use CEX their robbing you of your money
”","1","Posted 4 months ago"
"Anonymous","“
Terrible customer service resulted in my account being banned which I'm glad for do cex treat all their customers like #@£!.
”","1","Posted 4 months ago"
"Anonymous","“
BEWARE IF BUYING A LAPTOP!!
Q: When is a laptop sealed battery not a sealed battery? A: When you try to get it repaired under the CeX warranty.
Had laptop for 8 months, hardly used yet battery is completely dead. Checked CeX warranty and despite it clearly stating it covers sealed batteries, the staff in Edinburgh's Rose Street branch say differently because it can be unclipped and is therefore a consumable! Absolute disgrace, bunch of con artists, well done on losing any future custom from us The warranty isn't worth the paper it's printed on AVOID, AVOID, AVOID!!
”","1","Posted 4 months ago"
"Anonymous","“
I ordered an Ipad from here. Cex has sent me a completely different Ipad that is not part of the company. When I went the the Cex store for a refund they said I received the wrong Ipad and didn't help me at all to get a refund despite Cex sending me the wrong one, the staff are horrible. None of the staff helped me with anything even though they made this mistake. Never had such a bad experience before. Will never buy from here again, terrible staff. Store manager is horrible as well and didn't try to help me at all. I contacted customer service but they kept saying that they didn't send me the wrong Ipad despite me having proof that I received a different Ipad from the one I ordered. I do not recommend anyone to buy from here, they are a scam.
”","1","Posted 5 months ago"
"Anonymous","“
Fobbed off with excuses, refused to replace a faulty battery on my daughters mobile phone under the 24 month warranty, and at the Uxbridge branch lost the sim card to the phone and humiliated my wife and daughter in front of other customers.
”","1","Posted 5 months ago"
"Anonymous","“
I bought a smart watch to cex and I newore it once they checked it over and said it was a grade a when I went to collect my cash they tried to say that it was scratched but when they checked it there was no scratches on it I felt like I was being coned. and the member of staff had a bad attitude I was very disappointed
”","1","Posted 5 months ago"
"Andrew Ellis","“
took my nikon camera for valuation.it was about 15 years old bought from argos.to my disgust it flagged up as stolen, i even still have the reciept and original nikon box..never going there again , it doesnt make any sense that shop.
”","1","Posted 5 months ago"
"Paul","“
Tracking number CH006536494IE
Webuy order. Posted a previous order 2 weeks ago, paid for postage myself and received no problem. Posted this order 470497 on the 06/06/21 using their label and its stuck in a loop going back and fort form D12 to D11 and back D12 all week. An post informed me that Cex are sending it back to their po box, explains why it's constantly in a loop. After the ten days are up order will be cancelled. Someone at Cex in Dublin 11 wants a playstation 4 console with all accessories including 5 games for free. Be aware of the free postage label!!!!
”","1","Posted 6 months ago"
"Anonymous","“
Bought airpods for €135 came covered in ear wax absolutely vile
”","1","Posted 6 months ago"
"Anonymous","“
I've been saving up vouchers for Christmas presents only to be told my vouchers have been redeemed. I've not bought anything. No help or information on who used my voucher. Total scam.
”","1","Posted 6 months ago"
"Vikki","“
Purchased an iPhone online about 10 months ago and speakers have suddenly gone. As it had 2 year guarantee I took it back to my local town store Nottingham exchange walk, expected to have a battle as you do with any faulty goods these days but was pleasantly suprised. They tested the phone found the fault and refunded me - still waiting for the payment to clear as was done on a Sunday but the staff were all helpful and polite nothing was an issue and they didn't have a problem checking out what I'd said. So Happy with the service i purchased another phone at the same time whilst waiting for the money to clear! I would recommend and id certainly buy from them again, got the service I always wished every one gave! Thank you!
”","5","Posted 6 months ago"
"Adam","“
I bought some Powerbeats in May (Grade B). came in a filthy box and were broken. I couldn’t take back to the store for 2 week due to work but made them aware as soon as the product arrived. I had to travel to a store to return the item and pick up a replacement which had been arranged following my initial Trust Pilot review.
I took them back to the store who could see that they clearly shouldn’t have been dispatched in the condition they were in. The store manager showed me the replacement and embarrassingly informed me the replacement was damaged as well. I was fuming and had no option for a refund.
I made a complaint and Kester was liasing with me. He offered a good will gesture of £10. He then asked me to change my initial review!!!! I didn’t of course and then once the money had been refunded I look to but the Powerbeats again only to see they had increased the price for the same Grade by at least £10. This meant that the £10 voucher was basically non existent! I complained about this and was told I should have purchased the other Powerbeats immediately!!
I replied stating I did and the replacement you ordered for me to collect in the store was again faulty so I left it 2 weeks before deciding to try again!!
Don’t bother buying anything as if everything is correct CeX are great but appalling when things go wrong. The customer service has been none existent. You can’t even speak to anyone and have to do everything by email!
”","1","Posted 6 months ago"
"Darren Roche","“
Do not order from this company online. They take payment and only let you know that the item is not in stock if you contact them first. Your refund might be returned eventually if you are lucky. Whatever about the stores, save yourself alot of hassle and try another company online. Personally I would give minus stars as a review.
”","1","Posted 6 months ago"
"Anonymous","“
Booked in for a sale through the website as advised. Took my items to store the same day, store was empty and it took roughly 20 mins for the store clerk to check in my items. This was the quick option apparently.
After 3 days of chasing, after not having no emails, no calls, no response online via Facebook or twitter, I get told my item is broken and they can't accept it, despite being fully working when taken in, yes.. That old chestnut🙄.
Trying to get any sort of customer service quite frankly is like trying to get blood from a stone. The fact that Cex continue to use the pandemic as an excuse for their shocking response times and shocking lack of customer service is not only an insult to all their customers but their staff too.
Go find your local alternative to Cex, they are not the be all and end all and quite frankly there's other stores that would benefit more from your custom on the back end of a pandemic
”","1","Posted 6 months ago"
"Dan","“
Genuinely can't believe this company is still running. Absolute rip off merchants. Reselling new gen consoles for over 50% the RRP. Scalpers on a mass scale. Wan****
”","1","Posted 6 months ago"
"Anonymous","“
Terrible shop, on their site the blu ray I wanted was in stock at the local branch. No local tel no to double check but after travelling over 5 miles was told sorry not in stock computer/ site had not been updated. What a waste of my time & money for petrol a joke shop avoid ?
”","1","Posted 6 months ago"
"Anonymous","“
i checked my old phone was in good working order before i took it to store i was told it was worth £23 and i had to wait 1 hour for them to check it
i went back later to be told that the phone doesn't charge at all
i put it back in my car charger and it worked fine and charged as usual
i tried the website to complain but no customer service exists
avoid avoid avoid
”","1","Posted 6 months ago"
"Anonymous","“
Literally the worst place you could ever sell your valuables and even if you do sell your stuff, it's worth pennies to them. I don't understand how they can get away with this...
”","1","Posted 7 months ago"
"Lewis Appleton","“
Recently tried to sell 2 items to CEX to which they have opened from sealed condition and tested to then tell me that there is a 10% reduction for being multiple items.
Despite their terms and conditions stating:
20.2.5  The value CeX offers for your Products may be reduced upon receipt depending on their condition or quantity.
And email stating:
 **Multiple quantities of the same product may be subject to discount. If a discount is applied, we will notify you via email before processing your order.**
Note that in both instances, reference is made to a revised offer being made on receipt, and before processing, not after the items have been opened and tested.
Currently waiting to hear back before I pursue legal action against the company, but this is a clear breach of contract and of their own terms and conditions.
If you're selling to CEX I would highly advise against it as they are scammers.
”","1","Posted 7 months ago"
"Anonymous","“
Past experience not good, took a LG cookie mobile phone to sell a number of years ago, in full working order, testing took a hour or so, came back and they said it was not working. I can say categorically that this phone was working fine....they broke it. Took an Xbox one to sell today, they offered £50.00, no thanks not selling for that, probably break it with there testing...fool me once shame on you, fool me twice shame on me.....guy behind counter was not particularly pleasant either. AVOID
”","1","Posted 7 months ago"
"Ben Fox","“
I’ve had Cex not honour their 2 yr warranty on £225 AirPod pros. Order AL480365. Apple acknowledge the crackling is a manufacturing error and will fix. But CEX say it’s earwax and told me simply to pick up my AirPods. I suspect it’s because they can’t go to Apple to resolve.
This is the difference between me continuing as a loyal Cex customer (I’ve bought various consoles and games previously and am a registered member) and never using again and use Apple / Amazon / eBay etc instead.
I will consider taking to trading standards if it can’t be resolved.
Link where Apple confirm the problem can be easily found - type HT211157
”","1","Posted 7 months ago"
"Anonymous","“
A second hand DVD movie that I bought from the Cex 69 Queensway, Stevenage turned out to be faulty because when loaded onto my Sony dvd harddrive at home showed just a blank screen and no sound. Hope I can get a refund from this bad purchase that I regret having made.
”","1","Posted 7 months ago"
"Anonymous","“
I am very disappointed with. Cex stores they treated me really bad & they speak to u in a disrespectful way. The price can be over the top.
”","1","Posted 7 months ago"
"Yvonne","“
Very helpful and easy to talk also very quick in sorting out my phone. Told actually what would happen and what I would receive in cash for my phone. Thank you
”","5","Posted 7 months ago"
"Aaron Clark","“
Bought a camera via the webstore, which was shown as in stock. Heard nothing from them regarding the item being shipped for a few days so decided to chase them. Low and behold the camera in stock wasn't available for online purchase (not declared anywhere), by which point my account had already been charged, and the first I heard of this was after chasing them. Their response was essentially we'll refund you over the next 2 weeks. Given they never communicated the issue and are seemingly OK with a 2 week turnaround on refund I'll never be using them again.
”","1","Posted 7 months ago"
"Anonymous","“
I have been absolutely delighted with the service I received from CEX. I bought a laptop about 16 months ago with a 2 year guarantee at a very reasonable price. It has worked very well but during lockdown started to play up a bit so I took it back to the shop in York. They were so very helpful and very happy for me to return it and gave me excellent advice so I could find a replacement. Really they were so very friendly and helpful it was a pleasure. I will definitely shop there again.
”","5","Posted 7 months ago"
"Kinga","“
I would give it a 0 stars if I could. This company is a joke. My partner bought phone while ago and Royal Mail delivered it to wrong address. Cex said they need to investigate it. We contacted Royal Mail and they confirmed that phone was delivered to wrong address. We been waiting for over a month and they still needed more time. We been advised by CAB to request charge back with bank so that's what we did. Now both our accounts are suspended and they want us to contact solicitors to resolve the issue. At the end of the day it wasn't our fault and we been treated proper unfair. Customer service is disgraceful!!!
”","1","Posted 7 months ago"
"Anonymous","“
They will reject your item on the flimsiest of pretexts. You are far better selling on ebay
”","1","Posted 8 months ago"
"Nuno Pinto","“
No costumer service, online rubbish, take more than one day to pay not like they say in my case its been the 5th day waiting for the payment and even worse is they send the receipt saying that they will pay but I'm still waiting, garbage service
”","1","Posted 8 months ago"
"Harry","“
Total scam. They take your items refuse to payout on time or when the advidtise on the site. It's a lie so be careful
”","1","Posted 8 months ago"
"Kuds Adamu","“
CEX is a very good store because of its options in gadgets, kind staff and great service. Items aren't damaged when sent and i see it as one of the best stores to get games and gadgets.
”","5","Posted 8 months ago"
"Anonymous","“
wont take x box console been messed about cant ring them avoid!
”","1","Posted 8 months ago"
"Anonymous","“
Damaged item.
They sold me an item that it was damaged and now they don't offer me a refund or fix the item.
I honestly couldn't recommend buying anything at their stores. They are not honest or trustworthy. I wasted my money and my time, really sad.
”","1","Posted 8 months ago"
"Gail & Stuart","“
My husband and I both purchased Iphone 8plus (£360 ea) from CeX. They arrived on time and are brilliant. Mine has a new battery as was 100% capacity. My husbands was over 80%. They look brand new. His came in a box along with head phones. Mine was wrapped in bubble wrap with just a charger but I already have head phones so not that bothered.
”","5","Posted 8 months ago"
"Anonymous","“
bought an iPhone, all the parts of the phone was replicas, horrible staff not helpful at all
”","1","Posted 8 months ago"
"Jason","“
I ordered a game from cex on 09/03/2021. Its now 19/03/2021 and it still hasn't arrived. No way to speak to anyone about the order. No apology from them. Disgusting. I will never use again and won't recommend to anyone.
”","1","Posted 8 months ago"
"Ben Phillips","“
Traded my old console and games and they dropped the agreed price needlessly. Poor excuses about cosmetic damage and a fake cover on a game. Absolute rubbish.
”","1","Posted 8 months ago"
"Anonymous","“
Ordered from the UK site using a mail forwarding service in Ireland, only for the order to be cancelled, and my account suspended, they didn’t tell me why until I contacted them. They said I can’t use a mail forwarding service or a card not linked to the UK address, this isn’t stated on the site, and for the card it in fact says the opposite. They also suggested I check a nearby store... during a pandemic... I only used the UK site to begin with because they don’t have the same kind of stock in Ireland. Absolutely appalling service.
”","1","Posted 9 months ago"
"Daryl Watts","“
i left my phone to be sold. they called me to say they couldnt sell it. when i collected it, it no longer worked. the refused to accept responsibility.
”","1","Posted 9 months ago"
"Paulo","“
They sold me a Macbook Pro classification A (mint condition) for £ 698, when I received the product I noticed one of the keyboard wasn't working properly but it didn't bothered me, after all it is a secondhand product, one year later I noticed that the laptop will get uncharged quickly, and saw a message in the screen saying the battery needed service, I took the laptop to one of the shops in shepherd's Bush at the beginning they didn't want to receive the product, they said I needed to send it by mail to the main office, I insisted and they took the laptop, they said they were checking the state of the laptop it took like 3 weeks and after that they said that the laptop had water damage and that the guarantee doesn't cover it. I never used the laptop out of my house, I never spilled water on it, I have been scammed, this people sell damaged products, don't buy anything from them.
”","1","Posted 9 months ago"
"Hamza Malik","“
Excellent service received my ps5 😆😆
”","5","Posted 9 months ago"
"John","“
Personally, I have nothing but amazing things to say about CEX. Whenever I had an issue, customer service got back to me ASAP. They were quick with shipping and delivery of the items I ordered. I have ordered many times of this website, in fact i have made about 20 orders in total and all have been great experiences. I am a happy customer and will continue to buy from them
”","5","Posted 9 months ago"
