"Ian Robertson","“
Idiot's sent me the wrong swim shorts, stuff shopping with these cowboys again.
”","1","Posted 1 year ago"
"Scott Mathew","“
My order came on time and fits perfect. I will be returning
”","4","Posted 6 years ago"
"Rick Briddon","“
Great selection of items and excellent communication and returns
I will purchase from again in the future
”","5","Posted 6 years ago"
"Paula Gardiner","“
Great prompt service - would definitely use again.
”","5","Posted 6 years ago"
"Steven T Smith","“
I was really impressed with the level of service from UnderU.com.
The website was very easy to use, and the delivery was very fast as i expected.
Unfortunately the goods i purchased were too big around the waist so i had to return them for a full refund, but i will definitely be returning to shop at UnderU.com very soon.
”","5","Posted 6 years ago"
"Nicola Higgins","“
Good product, great price and really quick delivery. Very satisfied with my purchase!
”","5","Posted 6 years ago"
"Dan Hawthorn","“
I was very disappointed with Under U. They sent me the wrong item first time; I complained, and received a quick and helpful email saying the correct item would be sent first class and I should keep the wrong one as a gesture of goodwill. The replacement parcel arrived the next day. So far so good. But the parcel contained the same wrong item. When I complained again I was told I had in fact been sent the right item both times. This was definitely not true - which led me to conclude not only that Under U doesn't really understand the range it sells but also that its customer service approach - telling the customer they are wrong rather than bothering to investigate whether it has made a mistake itself - is completely inappropriate. (The two different replies also suggest very poor consistency among its customer service staff). I will certainly never use them again, and wouldn't recommend them to anyone else.
”","1","Posted 6 years ago"
"Brent Boxley","“
Good quality items, albeit one of the pairs I received were marked with the box also damaged. It was re-covered in cling-film type material, obviously a return.
”","3","Posted 6 years ago"
"Colin SMITH","“
Item still on delivery 9 days after dispatch, going via surface mail not Air Mail as suggested on website.
”","3","Posted 6 years ago"
"Siva Srinath","“
Not very absorbent nor comfortable
”","2","Posted 6 years ago"
"Dawid Martinkovic","“
Still waiting for purches to be deliver . Alredy more then 1 week. Very disappointed
”","1","Posted 6 years ago"
"Jad Salfiti","“
one of the boxes was missing a pair of underwear,
”","2","Posted 6 years ago"
"S Thompson","“
Good range of clothing and good pricing , but if you get your sizing wrong you have to pay to return your goods so probably wouldnt use again unless they changed it to free returns
”","3","Posted 6 years ago"
"Nathan Forster","“
Very poor delivery times, even though it was on a reduced rate I still expected better delivery times, it was only one pair of underwear and it took 4 days to get to me, I normally have one certain product delivered to me once a month it weighs 5.4kilos it comes with free delivery and it is with me next day despite being the cheapest place to buy it in the country, so overall very good product but very poor delivery times
”","3","Posted 6 years ago"
"Gary Robinson","“
When there came I opened them the first pair I got out they was a grease stain on it. As I was going on holiday the next day just took them .
”","2","Posted 6 years ago"
"Mel Hadlow","“
Delivered slow but to be fair had wrong address but saying that still not received 10 % back for my troubles .nice people thou.
”","3","Posted 6 years ago"
"Chris Nickson","“
I shouldn't really have to pay to return faulty goods which is my last experience. Returns should be free with a postal label to include the cost of the postage and not just the return address. Service normally very good but need to mark down on that basis
”","3","Posted 6 years ago"
"David Old","“
Delivery was not free as stated
”","3","Posted 6 years ago"
"Kelly Louise Felton","“
I orderd an item on the 18th of December as a gift, I got no tracking order & still await it's delivery. This was ment to take 3-5 days it is now the 28th & no reply from my emails or calls
”","2","Posted 6 years ago"
"Martin O'Sullivan Prismick","“
Really good service
”","5","Posted 7 years ago"
"Graham Taylor","“
Delivery was prompt and item as described. However, the postage costs to return an item would prevent me from using again.
”","3","Posted 7 years ago"
"Jennifer Soutar","“
Swimming trunks delivered fast and just as ordered, would use again.
”","5","Posted 7 years ago"
"Omar Yaqoob","“
UnderU.com is an easy website to use, with a great array of products & at great prices, i have bought products from the website on numerous occasions & have all been great quality products, with great & prompt delivery, will continue to buy for the forseable future.
”","5","Posted 7 years ago"
"Nick Phipps","“
Very efficient service - thank you very mucch
”","5","Posted 7 years ago"
"Carol Burns","“
Very efficient, good service all round and quality goods. Would use Under U again.
”","5","Posted 7 years ago"
"Roderick Lawson","“
Came as ordered
”","3","Posted 7 years ago"
"Jemma Baldwin","“
Fast delivery and good price, will definitely use to order clothes again
”","5","Posted 7 years ago"
"206a","“
Great products and very swift service. This isn't the first time and certainly won't be the last. Love it !!
”","5","Posted 7 years ago"
"William Hughes","“
Comfortable, quick delivery
”","4","Posted 7 years ago"
"JUNE COLLINS","“
Great product, fast dispatch, excellent service
”","4","Posted 7 years ago"
"Afiq Rashid","“
The briefs were terrific. Matches the price of them. Service was good as well.
”","5","Posted 7 years ago"
"Casanova Davide","“
Disponibilità Cortesia thank's
”","5","Posted 7 years ago"
"Alexander Green","“
Quick delivery, well packaged, unfortunately the buttons coming off a £60 pair of Ralph Lauren swimming shorts before I even got near any water was slightly disappointing.
”","3","Posted 7 years ago"
"JAY ANDERSON","“
good service & cheap delivery
”","4","Posted 7 years ago"
"Mark Fisher","“
Great price Calvin PJs and super fast delivery!
”","5","Posted 7 years ago"
"Stuart Roberts","“
Excellent service. Quality products. Need I say anymore other than I will purchase again from U!!!
”","5","Posted 7 years ago"
"Simon Graham","“
Excellent product at reasonable price, good delivery
”","5","Posted 7 years ago"
"Andrew Fenton","“
Excellent products with matching traditional English customer support - and impeccable telephone support.
Highly recommended.
”","5","Posted 7 years ago"
"Yolonda Langley","“
Excellent service , ordered and delivered straight away !
”","5","Posted 7 years ago"
"Stephen Butcher","“
Great service and selection. Always good value.
”","5","Posted 7 years ago"
"Heyser Christophe","“
Always happy but depend your brants . After 8 or 9 wash machine , they snapped. :-(
”","4","Posted 7 years ago"
"PETER CHIU","“
The website states that products will be received within 2-3 working days! I placed my order over 5 days ago and received nothing as of yet!
”","2","Posted 7 years ago"
"P E Dyson","“
The item was as described- good quality ! Received within a couple of days of ordering! Well impressed!
”","5","Posted 7 years ago"
"N Jones","“
Everything in my ordering experience was excellent.
”","5","Posted 7 years ago"
"David","“
Great products, highly recommend
”","5","Posted 7 years ago"
"S Fewlass","“
Excellent service, easy to order and very quick delivery, would recommend this company to anyone.
”","5","Posted 7 years ago"
"Sean Nugent","“
Got my james tudor briefs great fit and superb quality would buy again
”","5","Posted 7 years ago"
"Kevin Stovey","“
The ordering and delivery process was smooth and quick as it always seems to be with UnderU. I'm not that happy with the products though - I purchased 2 different triple packs of Armani briefs and trunks on a 20% off promo. There's something lacking and the sizing isn't great - I'm a large and Armani usually fit well, but the cotton seems to have too much give and the trunks look a little 'saggy' by the end of the day.
”","2","Posted 7 years ago"
"Chris Leslie","“
Good service and great prices. Be aware that you have to pay for returns though. Ordered some t shirts in a couple of sizes and colours to try on at home. Ended up sending all back and cost £9.17 second class recorded post. A lot of money to pay to try a few t shirts on!
”","3","Posted 7 years ago"
"Sean Milbourne","“
I still have not recieved my items which I purchased 9 days ago
”","1","Posted 7 years ago"
